"Osnovne šole in uèenci po: ŠOLSKO LETO, VRSTA ŠOLE, STATISTIÈNA REGIJA"
", MERITVE"

" ";" ";" ";"Uèenci";"Deèki";"Deklice"
" ";" ";"Posavska";5512;2814;2698
" ";" ";"Jugovzhodna Slovenija";12010;6114;5896
" ";" ";"Osrednjeslovenska";44775;23073;21702
" ";" ";"Gorenjska";17496;9046;8450
" ";" ";"Primorsko-notranjska";4181;2125;2056
" ";" ";"Goriška";9113;4637;4476
" ";" ";"Obalno-kraška";7754;3998;3756
" ";"Osnovne šole in zavodi s prilagojenim programom"
" ";" ";"SLOVENIJA";1807;1126;681
" ";" ";"Pomurska";101;68;33
" ";" ";"Podravska";289;177;112
" ";" ";"Koroška";55;33;22
" ";" ";"Savinjska";227;132;95
" ";" ";"Zasavska";49;26;23
" ";" ";"Posavska";64;38;26
" ";" ";"Jugovzhodna Slovenija";127;83;44
" ";" ";"Osrednjeslovenska";507;329;178
" ";" ";"Gorenjska";148;89;59
" ";" ";"Primorsko-notranjska";50;31;19
" ";" ";"Goriška";93;55;38
" ";" ";"Obalno-kraška";97;65;32
"2014/15"
" ";"Šole - SKUPAJ"
" ";" ";"SLOVENIJA";169101;86815;82286
" ";" ";"Pomurska";8806;4392;4414
" ";" ";"Podravska";24365;12504;11861
" ";" ";"Koroška";5884;2987;2897
" ";" ";"Savinjska";22060;11331;10729
" ";" ";"Zasavska";3114;1631;1483
" ";" ";"Posavska";5693;2917;2776
