"","Leto","Regija","Vrsta","Spol","Stevilo"
"263","2007/08","Obalno-kraška","Višje strokovno","Moški",265
"264","2007/08","Obalno-kraška","Višje strokovno","Ženske",253
"265","2007/08","Obalno-kraška","Visokošolsko strokovno (prejšnje)","Moški",671
"266","2007/08","Obalno-kraška","Visokošolsko strokovno (prejšnje)","Ženske",611
"267","2007/08","Obalno-kraška","Visokošolsko strokovno (1. bolonjska stopnja)","Moški",243
"268","2007/08","Obalno-kraška","Visokošolsko strokovno (1. bolonjska stopnja)","Ženske",402
"269","2007/08","Obalno-kraška","Visokošolsko univerzitetno (1. bolonjska stopnja)","Moški",248
"270","2007/08","Obalno-kraška","Visokošolsko univerzitetno (1. bolonjska stopnja)","Ženske",427
"271","2007/08","Obalno-kraška","Visokošolsko univerzitetno (prejšnje)","Moški",734
"272","2007/08","Obalno-kraška","Visokošolsko univerzitetno (prejšnje)","Ženske",1188
"273","2007/08","Obalno-kraška","Magistrsko (2. bolonjska stopnja) - enovito magistrsko","Moški",8
"274","2007/08","Obalno-kraška","Magistrsko (2. bolonjska stopnja) - enovito magistrsko","Ženske",5
"275","2007/08","Obalno-kraška","Magistrsko (2. bolonjska stopnja) - po končani 1. bolonjski stopnji","Moški",70
"276","2007/08","Obalno-kraška","Magistrsko (2. bolonjska stopnja) - po končani 1. bolonjski stopnji","Ženske",95
"277","2007/08","Obalno-kraška","Specialistično","Moški",46
"278","2007/08","Obalno-kraška","Specialistično","Ženske",26
"279","2007/08","Obalno-kraška","Magistrsko (prejšnje)","Moški",101
"280","2007/08","Obalno-kraška","Magistrsko (prejšnje)","Ženske",139
"281","2007/08","Obalno-kraška","Doktorsko (prejšnje)","Moški",32
"282","2007/08","Obalno-kraška","Doktorsko (prejšnje)","Ženske",41
"283","2007/08","Obalno-kraška","Doktorsko (3. bolonjska stopnja)","Moški",5
"284","2007/08","Obalno-kraška","Doktorsko (3. bolonjska stopnja)","Ženske",8
"285","2007/08","stalno bivališče neznano ali v tujini","Višje strokovno","Moški",23
"286","2007/08","stalno bivališče neznano ali v tujini","Višje strokovno","Ženske",16
"287","2007/08","stalno bivališče neznano ali v tujini","Visokošolsko strokovno (prejšnje)","Moški",51
"288","2007/08","stalno bivališče neznano ali v tujini","Visokošolsko strokovno (prejšnje)","Ženske",87
"289","2007/08","stalno bivališče neznano ali v tujini","Visokošolsko strokovno (1. bolonjska stopnja)","Moški",45
"290","2007/08","stalno bivališče neznano ali v tujini","Visokošolsko strokovno (1. bolonjska stopnja)","Ženske",31
"291","2007/08","stalno bivališče neznano ali v tujini","Visokošolsko univerzitetno (1. bolonjska stopnja)","Moški",80
